YEAR,DISTRICT,VEHICLE AT FAULT,VICTIM,TYPE OF ACCIDENT,# INJURED,# KILLED ,,,
2008,NEW DELHI,UNKNOWN,S/C & M/C,FATAL ACCIDENT,0,2,,,
2008,SHAHDARA,PVT CAR,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,EAST DELHI,HTV/GDS,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,EAST DELHI,BLUE LN,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,NEW DELHI,BLUE LN,TSR,SIMPLE ACCIDENT,1,0,,,
2008,CENTRAL DELHI,BUS OTR,S/C & M/C,SIMPLE ACCIDENT,2,0,,,
2008,CENTRAL DELHI,PVT CAR,SELF,SIMPLE ACCIDENT,1,0,,,
2008,CENTRAL DELHI,BLUE LN,PEDESTRIAN,FATAL ACCIDENT,0,1,,,
2008,NORTH DELHI(ROHINI),S/C&M/C,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,SOUTH DELHI,PVT CAR,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,NORTH DELHI(ROHINI),PVT CAR,CYCLE RICKSHAW,SIMPLE ACCIDENT,1,0,,,
2008,WEST DELHI,TEMPO,CYCLE,SIMPLE ACCIDENT,1,0,,,
2008,NORTH EAST DELHI,HTV/GDS,SELF,NON INJURY,0,0,,,
2008,WEST DELHI,PVT CAR,TSR,NON INJURY,0,0,,,
2008,NORTH DELHI(ROHINI),S/C&M/C,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,NEW DELHI,TEMPO,CAR,NON INJURY,0,0,,,
2008,NEW DELHI,UNKNOWN,CYCLE,SIMPLE ACCIDENT,1,0,,,
2008,CENTRAL DELHI,PVT CAR,SELF,FATAL ACCIDENT,1,1,,,
2008,NORTH EAST DELHI,S/C&M/C,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,SOUTH EAST DELHI,PVT CAR,CAR,SIMPLE ACCIDENT,1,0,,,
